MLS #,Acres,Basement Finished,Under Contract Date,Effective Date Of The Listing Agreement,List Price,Basement Square Feet,Sold Concessions,Sold Date,Sold Price,Sold Terms,Tax ID,Total Bedrooms,Total Full Bathrooms,Total Half Bathrooms,Total Three-quarter Bathrooms,Total Fireplaces,Total Kitchens,Total Laundry Rooms,Total Square Feet,Year Built,Road Condition,Accessability,Address
96833,5.0,0.0,2022-02-04,2022-02-01,439000,0,5000,2022-03-10,446000.0,CONV,E-1733-0045-0000,4,2,1,0,0,1,1,2998,1970,Unimproved,,6811 W Old Modena Road
96834,0.06,0.0,2022-04-12,2022-02-01,30000,0,0,2022-07-13,20000.0,CASH,B-0025-0014-0000,3,1,1,0,0,1,1,950,1975,Paved,,465N 800W Unit #27
96836,0.0,100.0,2022-02-22,2022-02-01,690000,193,0,2022-03-24,650000.0,CASH,A-1207-0001-001G,3,3,0,0,2,1,1,1683,2006,Paved,Year Round,565 S Vasels #1G
96837,0.16,0.0,2022-02-27,2022-02-01,380000,0,8000,2022-03-28,390000.0,VA,B-1565-0026-0000,3,2,0,0,1,1,1,1360,1996,Paved,,4011 W 25 N
96838,0.1,0.0,2022-02-10,2022-02-02,242000,0,0,2022-03-10,241425.0,VA,B-1893-0006-0001,2,1,0,0,0,1,1,768,2007,,Year Round,1890 N 1600 Access Road
96841,0.02,0.0,2022-02-12,2022-02-02,269900,0,0,2022-03-11,275000.0,CONV,B-1960-0013-000B,3,2,1,0,0,1,1,1242,2019,Paved,,920 S 25 #13b E
96842,0.18,0.0,2022-02-23,2022-02-02,479900,0,0,2022-03-14,480000.0,CONV,B-2010-0053-0000,4,2,1,0,1,1,1,2118,2021,Paved,Year Round,104 N Castle Drive
96843,0.03,0.0,2022-02-02,2022-02-02,315000,0,0,2022-08-19,315000.0,CONV,B-1958-0019-000A,3,2,1,0,0,1,1,1420,2022,Paved,Year Round,3053 N 175 E
96846,0.13,0.0,2022-02-24,2022-02-02,299000,0,4800,2022-03-28,299000.0,FHA,B-1161-0003-0004,3,2,0,0,0,1,1,1344,1984,Paved,,420 W Bramblewood Drive
96847,0.04,0.0,2022-02-07,2022-02-02,350000,0,0,2022-04-05,355000.0,CONV,A-1182-000D-0107,2,1,1,0,1,1,1,1012,1991,Paved,Year Round,286 W Eagles Roost D-107
96849,0.2,0.0,2022-02-06,2022-02-02,349000,0,3000,2022-03-10,345000.0,CONV,B-0166-0004-0000,4,2,0,0,1,1,1,1316,1941,Paved,,237 N 600 W
