List Number,Sold Date,Sold Price,Basement SqFt,Year Built,Lot Acres,Total Bedrooms,Full Baths,Half Baths,Garage Type,Zoned,Subdivision,Parcel Number,Garage Capacity,Photo URL,Bsmt % Finish,Fireplaces2,Kitchens,Laundry,Concessions4,Road Condition,Accessability,Address,GLA,Adjusted SP
107756,2/28/2025,496000,1117,2024,0.26,4,2,1,Attach,Re,Iron West,B-2020-0149-0000,3,http://cdn.photos.sparkplatform.com/icb/20241014211343423716000000.jpg,0.5,0,1,1,0,Paved,Year Round,4677 W 200 Lot 149 N,1419,496000
107771,1/10/2025,501897,1455,2024,0.2,3,3,0,Attach,R-2-1,Crescent Hills,B-2017-0038-0000,2,http://cdn.photos.sparkplatform.com/icb/20250107011259293567000000.jpg,0.1,1,1,1,0,Paved,,59 N Sterling Dr (Lot 38 Phs 4 Crescent Hills),1594,501897
107774,1/17/2025,779500,0,2024,0.3,3,2,1,Attach,R,Saddleback Ridge,B-2012-0923-0000,3,http://cdn.photos.sparkplatform.com/icb/20250117190833235627000000.jpg,0,1,1,1,0,Paved,Year Round,1841 S Hidden Canyon Road,2500,779500
107787,1/8/2025,609925,0,2024,0.35,4,2,1,Attach,Residential,Painted Desert,D-0535-0004-0000,5,http://cdn.photos.sparkplatform.com/icb/20240724170612779638000000.jpg,0,1,1,1,0,Paved,Year Round,2368 W 5190 Lot 3 Ph 1 N,2115,609925
107794,1/2/2025,145000,0,1984,0,0,1,0,Attach,R3/Nightly Rent,Brian Head North,A-1197-000E-0307,1,http://cdn.photos.sparkplatform.com/icb/20240724193151924568000000.jpg,0,1,1,1,0,Paved,Year Round,223 Hunter Ridge #e307 Road,375,145000
107804,5/14/2025,555000,0,2006,0.02,2,2,0,Attach,R3,Lofts at Brianhead,A-1205-0008-000D,2,http://cdn.photos.sparkplatform.com/icb/20240723202606450647000000.jpg,0,1,1,1,0,Paved,Year Round,270 S HWY 143 8D,1759,555000
107827,1/23/2025,357000,0,1993,0.19,3,2,0,None,R-2-2,Canyon Park,B-1105-0004-0000,0,http://cdn.photos.sparkplatform.com/icb/20240725220053545572000000.jpg,0,1,1,1,5000,Paved,Year Round,37 S 580 E,1850,352000
107851,6/20/2025,330000,0,2024,0.11,3,2,1,Attach,R-3-M,Cedar City,B-0897-0003-0000,2,http://cdn.photos.sparkplatform.com/icb/20250312005831657904000000.jpg,0,0,1,1,0,Paved,Year Round,273 W 400 N,1515,330000
107852,6/23/2025,330000,0,2024,0.12,3,2,1,Attach,R-3-M,Cedar City,B-0897-0002-0000,2,http://cdn.photos.sparkplatform.com/icb/20250312005434846368000000.jpg,0,0,1,1,0,Paved,Year Round,275 W 400 N,1515,330000
107853,4/10/2025,585000,1650,2017,0.24,6,3,0,Attach,R1,Mountain Shadows,B-1798-0020-0000,8,http://cdn.photos.sparkplatform.com/icb/20240729213414009849000000.jpg,1,1,1,1,0,Paved,Year Round,78 S 4050 W,1650,585000
